datetime,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
2018-08-01,720377.7,946940.9,591426.37,536852.28,3790.0820833333332,3790.0820833333332
2018-08-02,698181.7,971078.5,581354.2,506321.18,3558.380833333333,3558.380833333333
2018-08-03,654088.3,884776.2,532455.15,488987.57,3554.206875,3554.206875
2018-08-04,718617.5,819810.7,574216.04,574216.08,3910.6552083333336,3910.6552083333336
2018-08-05,544157.9,913670.6,444189.05,444189.01,3023.195416666667,3023.195416666667
2018-08-06,601456.8,748027.3,478328.55,478328.55,3691.0011458333333,3691.0011458333333
2018-08-07,612001.6,810555.9,464290.88,464290.89,3639.056979166667,3639.056979166667
2018-08-08,594123.3,810217.7000000001,463137.47000000003,463137.49,3476.4134375,3476.4134375
2018-08-09,790566.1,820327.8,586531.7,586531.69,3990.193541666667,3990.193541666667
2018-08-10,702744.9,876753.9,555740.12,555740.09,3604.332291666667,3604.332291666667
2018-08-11,736699.5,874038.2,587954.26,587954.21,3773.8717708333334,3773.8717708333334
2018-08-12,565541.4,988439.5,482762.32,456502.84,3112.485625,3112.485625
2018-08-13,613654.8,926227.1,499719.99,499720.01,3304.9092708333333,3304.9092708333333
2018-08-14,618959.1,916108.7,500408.1,500408.09,3314.090833333333,3314.090833333333
2018-08-15,531366.2,1004692.4,472203.49,472203.49,2824.9793750000003,2824.9793750000003
2018-08-16,774208.1,859144.0,572444.88,572444.88,3710.613645833333,3710.613645833333
2018-08-17,743010.7,1012263.0,613685.93,610648.82,3473.9744791666667,3473.9744791666667
2018-08-18,611820.6,1068542.9,515378.28,510341.86,2990.370833333333,2990.370833333333
2018-08-19,557644.4,1065406.0,470302.88,471519.62,2827.1402083333337,2827.1402083333337
2018-08-20,670514.8,975533.7,552228.33,552228.33,3296.735625,3296.735625
2018-08-21,568588.5,1071873.7,477805.01,477805.01,2871.9285416666667,2871.9285416666667
2018-08-22,563335.5,1084415.6,497597.99,497598.0,2854.174166666666,2854.174166666666
2018-08-23,602652.8,978274.2,498651.94,498651.95,3410.5969791666666,3410.5969791666666
2018-08-24,652969.8,981558.9,540756.72,540756.73,3581.519270833333,3581.519270833333
2018-08-25,642637.0,1043337.3,543651.15,543651.15,3386.8534375,3386.8534375
2018-08-26,521364.3,1075241.7,459352.04,459352.05,2824.6514583333333,2824.6514583333333
2018-08-27,609665.7,935444.0,521343.95999999996,521343.95999999996,3245.0453125,3245.0453125
2018-08-28,511215.3,1035902.6,450244.41,450244.4,2803.4810416666664,2803.4810416666664
2018-08-29,598790.1,1018374.4,517442.94,517442.95,2985.886875,2985.886875
2018-08-30,625301.2,938422.7,531945.71,531945.72,3219.9990624999996,3219.9990624999996
2018-08-31,640378.2,891782.4,527386.42,527386.41,3494.3826041666666,3494.3826041666666
2018-09-01,563812.8,1067483.3,496453.86,496453.87,2922.7237499999997,2922.7237499999997
2018-09-02,469654.4,1285732.2,434781.1,434781.09,2489.8958333333335,2489.8958333333335
2018-09-03,526489.8,1020517.5,461976.18,461976.2,2798.224583333333,2798.224583333333
2018-09-04,563051.8,960012.6,469392.42,469392.4,3021.5455208333333,3021.5455208333333
2018-09-05,673005.4,891574.1,539486.94,539486.92,3464.087708333333,3464.087708333333
2018-09-06,607061.5,878880.0,497510.91,497510.91,3248.9304166666666,3248.9304166666666
2018-09-07,613515.1,853885.8,477402.76,477402.77,3499.8993750000004,3499.8993750000004
2018-09-08,726293.9,919379.7,582502.9,582502.89,3748.8496875,3748.8496875
2018-09-09,786397.3,1026607.1,633514.76,633514.74,3413.9882291666668,3413.9882291666668
2018-09-10,1067806.8,1026151.4,784542.04,784542.03,4044.248229166667,4044.248229166667
2018-09-11,1107295.8,1061416.9,876684.04,861253.63,4407.674270833333,4407.674270833333
2018-09-12,1053706.5,1034410.1,823182.89,819668.23,4245.318749999999,4245.318749999999
2018-09-13,1041792.6,995224.7,780288.42,780288.42,4400.547916666666,4400.547916666666
2018-09-14,1072126.0,902292.7,764753.6,764753.58,5000.253020833333,5000.253020833333
2018-09-15,1206178.6,844884.6,775348.36,775348.36,5471.762291666667,5471.762291666667
2018-09-16,1062711.7,862955.5,776883.06,776883.06,5319.740520833334,5319.740520833334
2018-09-17,1195566.6,770975.8,715212.57,715212.57,6301.679270833333,6301.679270833333
2018-09-18,1062143.0,801831.8,738123.17,738123.18,6526.5909375,6526.5909375
2018-09-19,946468.8,950030.4,763366.89,763366.9,5278.6570833333335,5278.6570833333335
2018-09-20,1038645.9,896766.9,789426.87,789426.87,5688.170520833333,5688.170520833333
2018-09-21,999091.2,785382.5,711388.85,711388.85,6690.7127083333335,6690.7127083333335
2018-09-22,874764.8,979040.5,716037.38,716037.35,4391.5398958333335,4391.5398958333335
2018-09-23,807652.8,1194326.4,697567.72,697567.75,3632.818020833334,3632.818020833334
2018-09-24,1134174.1,1016933.8,834574.96,834574.96,4694.324166666666,4694.324166666666
2018-09-25,1289927.5,1248100.1,1073206.24,1073206.23,4933.673854166666,4933.673854166666
2018-09-26,1490045.6,1160049.4,1060395.28,1060395.28,6383.396979166667,6383.396979166667
2018-09-27,1545835.8,1236906.4,1161753.5,1161753.5,7089.324270833334,7089.324270833334
